repo1,repo2,Similarity(No. 1),Similarity(No. 2)
encode/apistar,encode/apistar,0.083,0.357
cloudnativelabs/kube-shell,fabianp/memory_profiler,0.129,0.702
blaze/blaze,erikrose/more-itertools,0.134,0.806
boppreh/keyboard,boppreh/keyboard,0.084,0.113
nucleic/enaml,RaylockLLC/DearPyGui,0.17,0.096
patrys/httmock,gabrielfalcao/HTTPretty,0.383,0.093
MicroPyramid/forex-python,Alir3z4/python-currencies,0.254,0.064
SmileyChris/django-countries,FactoryBoy/factory_boy,0.254,0.376
orsinium/textdistance,rsalmei/alive-progress,0.638,0.405
html5lib/html5lib-python,html5lib/html5lib-python,0.337,0.173
JaidedAI/EasyOCR,ponyorm/pony,0.792,0.405
pytransitions/transitions,wemake-services/wemake-python-styleguide,0.671,0.141
Maratyszcza/PeachPy,Microsoft/Pyjion,0.619,0.158
flask-api/flask-api,pyeve/eve,0.418,0.223
mher/flower,sshwsfc/xadmin,0.048,0.317
Pylons/waitress,coala/coala,0.969,0.977
hhatto/nude.py,getsentry/sentry-python,0.941,0.96
ray-project/ray,psf/requests,0.772,0.305
wooey/wooey,sshwsfc/xadmin,0.512,0.223
mininet/mininet,noxrepo/pox,0.075,0.091
pycco-docs/pycco,pycco-docs/pycco,0.06,0.033
pythonnet/pythonnet,seatgeek/sixpack,0.33,0.543
gak/pycallgraph,mindflayer/python-mocket,0.524,0.324
agiliq/merchant,asweigart/pyautogui,0.725,0.2
scottrogowski/code2flow,jendrikseipp/vulture,0.069,0.183
spulec/freezegun,mininet/mininet,0.896,0.386
Theano/Theano,mitmproxy/pdoc,0.857,0.449
coleifer/peewee,Julian/jsonschema,0.742,0.1
erikrose/more-itertools,DamnWidget/anaconda,0.896,0.136
aws/aws-cli,dbcli/pgcli,0.577,0.1
bokeh/bokeh,SciTools/cartopy,0.13,0.039
timofurrer/maya,KoffeinFlummi/Chronyk,0.642,0.784
nicfit/eyeD3,KoffeinFlummi/Chronyk,0.486,0.429
JaidedAI/EasyOCR,sightmachine/SimpleCV,0.135,0.139
orsinium/textdistance,mozillazg/python-pinyin,0.187,0.143
encode/apistar,huge-success/sanic,0.181,0.218
khamidou/lptrace,PrefectHQ/prefect,0.395,0.333
ellisonleao/pyshorteners,glamp/bashplotlib,0.94,0.944
PySimpleGUI/PySimpleGUI,RaylockLLC/DearPyGui,0.627,0.954
pynamodb/PynamoDB,kiddouk/redisco,0.278,0.138
mahmoud/boltons,mitsuhiko/pluginbase,0.41,0.17
jek/blinker,pallets/werkzeug,0.865,0.639
scanny/python-pptx,elapouya/python-docx-template,0.561,0.292
lepture/authlib,Instagram/MonkeyType,0.377,0.898
hugapi/hug,tiangolo/fastapi,0.086,0.868
ovalhub/pyicu,PyCQA/modernize,0.238,0.804
nvdv/vprof,uber/pyflame,0.113,0.533
dbader/schedule,dmlc/mxnet,0.847,0.854
benfred/py-spy,schematics/schematics,0.753,0.868
