repo1,repo2,Similarity(No. 1),Similarity(No. 2)
elastic/elasticsearch-dsl-py,conda/conda,0.678,0.698
pypa/bandersnatch,google/google-api-python-client,0.171,0.791
django/channels,JaidedAI/EasyOCR,0.906,0.813
r0x0r/pywebview,PySimpleGUI/PySimpleGUI,0.702,0.12
wemake-services/wemake-python-styleguide,klen/pylama,0.292,0.575
stephenmcd/mezzanine,mitsuhiko/pluginbase,0.55,0.475
stanfordnlp/stanza,isnowfy/snownlp,0.29,0.519
encode/uvicorn,encode/uvicorn,0.651,0.243
wemake-services/wemake-python-styleguide,feincms/feincms,0.882,0.202
orsinium/textdistance,WiserTogether/django-remote-forms,0.967,0.67
davedoesdev/python-jwt,davedoesdev/python-jwt,0.881,0.753
lincolnloop/python-qrcode,WhyNotHugo/python-barcode,0.055,0.062
lemire/simdjson,lemire/simdjson,0.1,0.053
pyparsing/pyparsing,burnash/gspread,0.699,0.208
pyglet/pyglet,pybee/toga,0.622,0.14
HypothesisWorks/hypothesis,PrefectHQ/prefect,0.391,0.105
jorgenschaefer/elpy,jorgenschaefer/elpy,0.531,0.195
agiliq/merchant,Alir3z4/python-currencies,0.131,0.15
rsalmei/alive-progress,willmcgugan/rich,0.136,0.175
chriskiehl/Gooey,zoofIO/flexx,0.483,0.127
jek/blinker,statsmodels/statsmodels,0.902,0.223
timofurrer/maya,chapmanb/bcbb,0.981,0.426
boppreh/mouse,secdev/scapy,0.854,0.479
flask-api/flask-api,mkdocs/mkdocs,0.402,0.484
antocuni/pdb,pyinvoke/invoke,0.691,0.64
zoofIO/flexx,PySimpleGUI/PySimpleGUI,0.097,0.185
orsinium/textdistance,chardet/chardet,0.085,0.337
nvbn/thefuck,davidhalter/jedi-vim,0.505,0.119
coala/coala,scottrogowski/code2flow,0.127,0.128
Pylons/deform,Pylons/deform,0.361,0.082
justquick/django-activity-stream,gabrielfalcao/HTTPretty,0.736,0.181
dbader/schedule,nficano/python-lambda,0.68,0.782
audreyr/cookiecutter,geex-arts/django-jet,0.377,0.726
pyenv/pyenv,pypa/virtualenv,0.042,0.096
cdgriffith/Box,jab/bidict,0.031,0.076
Julian/jsonschema,schematics/schematics,0.033,0.666
timofurrer/maya,django-guardian/django-guardian,0.109,0.781
justquick/django-activity-stream,justquick/django-activity-stream,0.089,0.073
thauber/django-schedule,thauber/django-schedule,0.034,0.025
dateutil/dateutil,timofurrer/maya,0.087,0.128
python-excel/xlrd,mstamy2/PyPDF2,0.441,0.168
django/daphne,skorokithakis/shortuuid,0.756,0.768
gak/pycallgraph,PyCQA/prospector,0.647,0.579
nvbn/thefuck,mooz/percol,0.57,0.696
tyiannak/pyAudioAnalysis,pricingassistant/mrq,0.853,0.795
scottrogowski/code2flow,gak/pycallgraph,0.26,0.449
fogleman/Quads,benhamner/Metrics,0.166,0.383
soravux/scoop,dmlc/mxnet,0.511,0.191
skorokithakis/shortuuid,davidaurelio/hashids-python,0.119,0.214
seatgeek/fuzzywuzzy,gunnery/gunnery,0.913,0.452
geopy/geopy,maxmind/geoip-api-python,0.572,0.362
miso-belica/sumy,psf/requests-html,0.286,0.721
maxmind/geoip-api-python,uber/pyflame,0.575,0.844
pybuilder/pybuilder,PetrochukM/PyTorch-NLP,0.511,0.666
mkdocs/mkdocs,lektor/lektor,0.484,0.573
Pylons/waitress,jaraco/path.py,0.618,0.776
dmlc/xgboost,mozilla/unicode-slugify,0.635,0.799
orsinium/textdistance,LuminosoInsight/python-ftfy,0.323,0.083
pallets/markupsafe,stchris/untangle,0.404,0.092
pyparsing/pyparsing,amoffat/sh,0.814,0.453
DamnWidget/anaconda,srusskih/SublimeJEDI,0.468,0.532
dylanaraps/pywal,rossgoodwin/hmap,0.038,0.06
alecthomas/voluptuous,graphql-python/graphene,0.256,0.181
rkern/line_profiler,fabianp/memory_profiler,0.22,0.104
erikrose/more-itertools,pytoolz/cytoolz,0.579,0.234
feincms/feincms,ionelmc/python-manhole,0.549,0.381
benedekrozemberczki/karateclub,chapmanb/bcbio-nextgen,0.168,0.461
michaelhelmick/lassie,buriy/python-readability,0.27,0.396
django-crispy-forms/django-crispy-forms,Yelp/mrjob,0.506,0.505
asweigart/pyautogui,pypa/bandersnatch,0.407,0.468
geex-arts/django-jet,facebook/PathPicker,0.392,0.312
nicfit/eyeD3,vinta/pangu.py,0.694,0.337
django-compressor/django-compressor,Miserlou/Zappa,0.1,0.299
dateutil/dateutil,shinux/PyTime,0.1,0.189
PrefectHQ/prefect,dbader/schedule,0.027,0.135
hugapi/hug,encode/apistar,0.356,0.173
Pylons/waitress,tartiflette/tartiflette-asgi,0.459,0.498
glamp/bashplotlib,peterbrittain/asciimatics,0.057,0.175
crossbario/autobahn-python,MagicStack/uvloop,0.419,0.327
sloria/doitlive,audreyr/cookiecutter,0.893,0.655
stephenmcd/mezzanine,ray-project/ray,0.929,0.562
librosa/librosa,Microsoft/PTVS,0.105,0.515
dirn/When.py,dateutil/dateutil,0.186,0.379
pythonnet/pythonnet,miracle2k/webassets,0.705,0.6
wtforms/wtforms,pallets/itsdangerous,0.815,0.45
cobrateam/splinter,seatgeek/sixpack,0.085,0.055
Suor/funcy,pricingassistant/mrq,0.152,0.057
falconry/falcon,pyca/pynacl,0.636,0.359
awslabs/aws-data-wrangler,ionelmc/python-manhole,0.653,0.606
sympy/sympy,chapmanb/bcbb,0.054,0.033
shazow/urllib3,httplib2/httplib2,0.117,0.055
python-attrs/attrs,cdgriffith/Box,0.065,0.097
moggers87/salmon,modoboa/modoboa,0.027,0.086
daboth/pagan,fogleman/Quads,0.195,0.129
mining/mining,blaze/blaze,0.337,0.14
thumbor/thumbor,dylanaraps/pywal,0.026,0.049
dbcli/litecli,cloudnativelabs/kube-shell,0.211,0.118
Alir3z4/html2text,DiffSK/configobj,0.142,0.437
WhyNotHugo/python-barcode,hhatto/nude.py,0.102,0.404
stephenmcd/mezzanine,ponyorm/pony,0.418,0.275
clips/pattern,lancopku/pkuseg-python,0.171,0.357
mining/mining,django-guardian/django-guardian,0.673,0.339
gaojiuli/toapi,coleifer/micawber,0.103,0.171
h2oai/h2o-3,miracle2k/flask-assets,0.9,0.948
mozilla/bleach,davidaurelio/hashids-python,0.819,0.92
abhiTronix/vidgear,aizvorski/scikit-video,0.282,0.713
vispy/vispy,timofurrer/maya,0.238,0.583
openai/gym,JohnLangford/vowpal_wabbit,0.152,0.285
altair-viz/altair,blaze/blaze,0.054,0.267
stephenmcd/hot-redis,xonsh/xonsh,0.641,0.466
pyinvoke/invoke,pyinvoke/invoke,0.28,0.324
coleifer/micawber,Alir3z4/html2text,0.061,0.064
timofurrer/try,timofurrer/try,0.088,0.133
awesto/django-shop,MicroPyramid/forex-python,0.14,0.34
jindaxiang/akshare,stephenmcd/hot-redis,0.272,0.251
CleanCut/green,mstamy2/PyPDF2,0.437,0.491
knipknap/SpiffWorkflow,knipknap/SpiffWorkflow,0.017,0.307
pennersr/django-allauth,emirozer/fake2db,0.84,0.683
jmcarp/robobrowser,scrapinghub/portia,0.609,0.599
lepture/authlib,keras-team/keras,0.886,0.823
pennersr/django-allauth,lepture/authlib,0.797,0.829
google/google-api-python-client,flask-restful/flask-restful,0.834,0.475
shinux/PyTime,Theano/Theano,0.981,0.607
getpelican/pelican,pallets/werkzeug,0.048,0.345
WiserTogether/django-remote-forms,dyve/django-bootstrap3,0.377,0.454
jendrikseipp/vulture,robotframework/robotframework,0.239,0.785
nficano/python-lambda,dahlia/awesome-sqlalchemy,0.606,0.739
rossgoodwin/hmap,django-haystack/django-haystack,0.935,0.69
zoofIO/flexx,chriskiehl/Gooey,0.656,0.611
nficano/python-lambda,DamnWidget/anaconda,0.908,0.079
gmr/queries,gmr/queries,0.478,0.102
dmlc/xgboost,ellisonleao/pyshorteners,0.87,0.761
unoconv/unoconv,python-openxml/python-docx,0.641,0.492
benhamner/Metrics,Theano/Theano,0.284,0.149
quantopian/zipline,chapmanb/bcbio-nextgen,0.074,0.076
alecthomas/voluptuous,podio/valideer,0.082,0.077
Parsely/streamparse,pypa/bandersnatch,0.413,0.077
bbangert/beaker,lericson/pylibmc,0.196,0.081
gorakhargosh/watchdog,ahupp/python-magic,0.224,0.073
SerpentAI/SerpentAI,BVLC/caffe,0.085,0.127
getnikola/nikola,mkdocs/mkdocs,0.092,0.066
un33k/python-slugify,mozilla/unicode-slugify,0.103,0.116
sergree/matchering,Parisson/TimeSide,0.033,0.087
Alir3z4/python-currencies,esnme/ultrajson,0.418,0.131
Pylons/waitress,Pylons/waitress,0.403,0.147
sympy/sympy,chapmanb/bcbio-nextgen,0.222,0.087
google/google-api-python-client,mobolic/facebook-sdk,0.304,0.083
mailgun/flanker,SciTools/cartopy,0.936,0.917
spotify/dh-virtualenv,SciTools/cartopy,0.867,0.68
saltstack/salt,Fizzadar/pyinfra,0.452,0.108
SmileyChris/django-countries,awslabs/aws-data-wrangler,0.828,0.113
Theano/Theano,Theano/Theano,0.174,0.15
fogleman/Quads,dylanaraps/pywal,0.03,0.066
fogleman/Quads,daboth/pagan,0.036,0.513
gabrielfalcao/HTTPretty,kiddouk/redisco,0.067,0.608
pyglet/pyglet,r0x0r/pywebview,0.759,0.948
tartiflette/tartiflette-asgi,fabianp/memory_profiler,0.95,0.97
Kotti/Kotti,agiliq/merchant,0.174,0.605
bloomberg/bqplot,bokeh/bokeh,0.155,0.565
Suor/funcy,pytoolz/toolz,0.422,0.09
python/black,google/yapf,0.365,0.088
r0x0r/pywebview,beetbox/audioread,0.758,0.589
MechanicalSoup/MechanicalSoup,SciTools/cartopy,0.891,0.486
Parsely/streamparse,jmcarp/robobrowser,0.66,0.211
dbcli/litecli,laixintao/iredis,0.412,0.166
python-greenlet/greenlet,beetbox/beets,0.168,0.287
django-compressor/django-compressor,python-excel/xlrd,0.063,0.097
fabtools/fabtools,pyenv/pyenv,0.038,0.051
PyMySQL/mysqlclient-python,PyMySQL/mysqlclient-python,0.13,0.102
maciejkula/spotlight,maciejkula/spotlight,0.103,0.07
python/typeshed,laixintao/iredis,0.222,0.161
httplib2/httplib2,psf/requests,0.457,0.082
encode/apistar,jet-admin/jet-bridge,0.348,0.054
waylan/Python-Markdown,lepture/mistune,0.173,0.195
dylanaraps/pywal,unoconv/unoconv,0.087,0.103
django-cache-machine/django-cache-machine,huge-success/sanic,0.09,0.624
grantjenks/python-sortedcontainers,keon/algorithms,0.03,0.432
unoconv/unoconv,elapouya/python-docx-template,0.462,0.586
getsentry/responses,timothycrosley/isort,0.514,0.81
feincms/feincms,PetrochukM/PyTorch-NLP,0.553,0.318
Microsoft/Pyjion,saffsd/langid.py,0.172,0.526
pwaller/pyfiglet,mozillazg/python-pinyin,0.23,0.114
sirfz/tesserocr,grantjenks/python-sortedcontainers,0.334,0.13
beetbox/audioread,mher/flower,0.961,0.973
s3tools/s3cmd,html5lib/html5lib-python,0.935,0.933
ansible/ansible,saltstack/salt,0.6,0.759
timofurrer/maya,mooz/percol,0.205,0.841
jorgenschaefer/elpy,timofurrer/maya,0.915,0.65
pybuilder/pybuilder,Suor/funcy,0.888,0.678
pytoolz/toolz,keras-team/keras,0.327,0.554
chineking/cola,binux/pyspider,0.159,0.537
wooey/wooey,mher/flower,0.036,0.159
pricingassistant/mrq,coleifer/huey,0.109,0.235
Theano/Theano,rq/rq,0.816,0.186
dask/dask,spotify/luigi,0.345,0.113
ovalhub/pyicu,peterbrittain/asciimatics,0.053,0.649
mininet/mininet,lincolnloop/python-qrcode,0.174,0.487
marshmallow-code/marshmallow,beetbox/beets,0.406,0.175
mindsdb/mindsdb,JohnLangford/vowpal_wabbit,0.453,0.072
PrefectHQ/prefect,gunnery/gunnery,0.026,0.114
PetrochukM/PyTorch-NLP,isnowfy/snownlp,0.049,0.192
ray-project/ray,spotify/luigi,0.935,0.921
codelucas/newspaper,chapmanb/bcbb,0.926,0.793
jiaaro/pydub,facebookresearch/hydra,0.234,0.493
mooz/percol,gleitz/howdoi,0.232,0.408
mooz/percol,saffsd/langid.py,0.726,0.607
chriskiehl/Gooey,chriskiehl/Gooey,0.356,0.642
dbcli/pgcli,dbcli/litecli,0.083,0.057
python/black,python/black,0.077,0.055
indico/indico,indico/indico,0.041,0.113
sirfz/tesserocr,google/pytype,0.11,0.137
elapouya/python-docx-template,elapouya/python-docx-template,0.068,0.032
spyoungtech/grequests,shazow/urllib3,0.038,0.065
prabhupant/python-ds,TheAlgorithms/Python,0.032,0.04
tomerfiliba/rpyc,0rpc/zerorpc-python,0.038,0.083
fabtools/fabtools,audreyr/cookiecutter,0.262,0.114
zostera/django-bootstrap4,stephenmcd/mezzanine,0.43,0.083
asweigart/pyautogui,JaidedAI/EasyOCR,0.356,0.248
audreyr/cookiecutter,facebook/PathPicker,0.147,0.227
libvips/pyvips,lincolnloop/python-qrcode,0.131,0.66
vinta/pangu.py,codeinthehole/purl,0.522,0.726
abhiTronix/vidgear,antocuni/pdb,0.559,0.204
schematics/schematics,alecthomas/voluptuous,0.252,0.154
laixintao/iredis,dbcli/litecli,0.654,0.633
pytoolz/toolz,zostera/django-bootstrap4,0.696,0.624
thauber/django-schedule,PrefectHQ/prefect,0.1,0.064
nvbn/thefuck,nvbn/thefuck,0.21,0.128
vandersonmota/model_mommy,klen/mixer,0.287,0.271
fengsp/plan,gunnery/gunnery,0.131,0.158
jakubroztocil/httpie,cloudnativelabs/kube-shell,0.409,0.125
librosa/librosa,Parisson/TimeSide,0.131,0.126
uber/pyflame,jazzband/pip-tools,0.526,0.488
dirn/When.py,zachwill/moment,0.135,0.327
kevin1024/vcrpy,kevin1024/vcrpy,0.16,0.645
beetbox/audioread,Kotti/Kotti,0.584,0.849
django/daphne,dahlia/awesome-sqlalchemy,0.099,0.414
pallets/markupsafe,mozilla/bleach,0.052,0.331
h2oai/h2o-3,miracle2k/webassets,0.888,0.301
ahupp/python-magic,pyfilesystem/pyfilesystem2,0.671,0.233
inducer/pudb,inducer/pudb,0.077,0.154
jet-admin/jet-bridge,mher/flower,0.027,0.082
ansible/ansible,ansible/ansible,0.097,0.078
rochacbruno/quokka,stephenmcd/mezzanine,0.052,0.056
moggers87/salmon,moggers87/salmon,0.206,0.808
PyCQA/modernize,istrategylabs/django-wordpress,0.6,0.827
blaze/blaze,mining/mining,0.202,0.13
davedoesdev/python-jwt,mpdavis/python-jose,0.239,0.228
twisted/treq,encode/httpx,0.278,0.223
dbcli/pgcli,rkern/line_profiler,0.405,0.298
sloria/doitlive,rochacbruno/quokka,0.046,0.767
PySimpleGUI/PySimpleGUI,nucleic/enaml,0.14,0.618
schematics/schematics,JaidedAI/EasyOCR,0.836,0.717
andialbrecht/sqlparse,html5lib/html5lib-python,0.434,0.791
jfkirk/tensorrec,spotify/annoy,0.268,0.142
michaelhelmick/lassie,gaojiuli/toapi,0.116,0.063
codelucas/newspaper,gaojiuli/toapi,0.196,0.79
MechanicalSoup/MechanicalSoup,aizvorski/scikit-video,0.834,0.892
henriquebastos/python-decouple,henriquebastos/python-decouple,0.556,0.301
moggers87/salmon,davidhalter/jedi-vim,0.859,0.315
python-attrs/attrs,elastic/elasticsearch-dsl-py,0.176,0.118
fxsjy/jieba,stanfordnlp/stanza,0.066,0.129
rossgoodwin/hmap,dylanaraps/pywal,0.388,0.097
stephenmcd/hot-redis,encode/uvicorn,0.855,0.266
codeinthehole/purl,Microsoft/PTVS,0.986,0.52
mininet/mininet,Bogdanp/dramatiq,0.941,0.617
jab/bidict,carlosescri/DottedDict,0.347,0.493
facebookresearch/pytext,ionelmc/python-manhole,0.572,0.671
uber/pyflame,benfred/py-spy,0.18,0.525
tiangolo/fastapi,noxrepo/pox,0.591,0.57
moggers87/salmon,crossbario/autobahn-python,0.617,0.319
Yelp/mrjob,srusskih/SublimeJEDI,0.915,0.549
tyiannak/pyAudioAnalysis,tyiannak/pyAudioAnalysis,0.156,0.08
fogleman/Quads,dahlia/wand,0.023,0.068
benfred/py-spy,nvdv/vprof,0.107,0.151
dateutil/dateutil,flask-admin/flask-admin,0.496,0.159
Bogdanp/dramatiq,Kotti/Kotti,0.262,0.912
laixintao/iredis,devsnd/tinytag,0.357,0.809
crossbario/autobahn-python,keunwoochoi/kapre,0.894,0.717
WhyNotHugo/python-barcode,dylanaraps/pywal,0.58,0.679
pybee/toga,encode/apistar,0.545,0.288
geopy/geopy,geopy/geopy,0.226,0.328
flask-api/flask-api,ryanmcgrath/twython,0.31,0.22
WhyNotHugo/python-barcode,jek/blinker,0.331,0.315
stephenmcd/mezzanine,rochacbruno/quokka,0.072,0.502
miso-belica/sumy,ray-project/ray,0.602,0.372
fxsjy/jieba,fxsjy/jieba,0.037,0.05
flask-api/flask-api,flask-api/flask-api,0.022,0.031
ahupp/python-magic,khamidou/lptrace,0.942,0.194
altair-viz/altair,Fizzadar/pyinfra,0.744,0.129
sergree/matchering,beetbox/audioread,0.121,0.095
Miserlou/Zappa,nficano/python-lambda,0.088,0.05
gaojiuli/toapi,Alir3z4/html2text,0.548,0.783
jek/blinker,falconry/falcon,0.892,0.943
chapmanb/bcbio-nextgen,dfunckt/django-rules,0.843,0.518
mpdavis/python-jose,mpdavis/python-jose,0.17,0.625
jazzband/django-taggit,AtsushiSakai/PythonRobotics,0.909,0.951
dbcli/litecli,myusuf3/delorean,0.704,0.943
pytransitions/transitions,pytransitions/transitions,0.262,0.551
mitmproxy/pdoc,binux/pyspider,0.42,0.296
MechanicalSoup/MechanicalSoup,jmcarp/robobrowser,0.533,0.164
web2py/pydal,zachwill/moment,0.197,0.311
benoitc/gunicorn,awslabs/aws-data-wrangler,0.746,0.371
martinblech/xmltodict,istrategylabs/django-wordpress,0.657,0.426
mikeorr/Unipath,mikeorr/Unipath,0.029,0.062
tartiflette/tartiflette-asgi,tartiflette/tartiflette-aiohttp,0.048,0.076
carlosescri/DottedDict,jab/bidict,0.423,0.461
kevin1024/vcrpy,martinblech/xmltodict,0.223,0.439
faif/python-patterns,getpelican/pelican,0.52,0.506
dask/dask,patx/pickledb,0.235,0.503
chapmanb/bcbb,lepture/authlib,0.943,0.876
seatgeek/sixpack,kiwicom/schemathesis,0.497,0.879
statsmodels/statsmodels,pymc-devs/pymc3,0.062,0.144
jakubroztocil/httpie,dbcli/litecli,0.05,0.113
stanfordnlp/stanza,stanfordnlp/stanza,0.152,0.082
sightmachine/SimpleCV,ageitgey/face_recognition,0.279,0.049
sdispater/orator,coleifer/peewee,0.742,0.568
jfkirk/tensorrec,gmr/queries,0.861,0.666
davidhalter/jedi-vim,pyca/pynacl,0.905,0.361
chriskiehl/Gooey,encode/httpx,0.874,0.299
wemake-services/wemake-python-styleguide,r0x0r/pywebview,0.746,0.714
gruns/furl,marshmallow-code/webargs,0.111,0.509
dbcli/litecli,jakubroztocil/httpie,0.079,0.187
evonove/django-oauth-toolkit,omab/python-social-auth,0.064,0.137
scottrogowski/code2flow,tqdm/tqdm,0.029,0.076
benfred/implicit,jfkirk/tensorrec,0.095,0.082
rossgoodwin/hmap,python-pillow/Pillow,0.065,0.056
jschneier/django-storages,miracle2k/flask-assets,0.039,0.062
dbcli/litecli,miracle2k/flask-assets,0.445,0.12
tschellenbach/Stream-Framework,justquick/django-activity-stream,0.574,0.215
chapmanb/bcbb,chapmanb/bcbb,0.303,0.144
LuminosoInsight/python-ftfy,bloomberg/bqplot,0.857,0.129
spotify/dh-virtualenv,orsinium/textdistance,0.901,0.735
SavinaRoja/PyUserInput,SavinaRoja/PyUserInput,0.836,0.798
davidhalter/jedi,burnash/gspread,0.387,0.368
PyCQA/prospector,fxsjy/jieba,0.568,0.286
spulec/freezegun,getsentry/responses,0.027,0.287
dylanaraps/pywal,lincolnloop/python-qrcode,0.037,0.178
openai/gym,benhamner/Metrics,0.361,0.333
amoffat/sh,seatgeek/fuzzywuzzy,0.82,0.369
pytransitions/transitions,mymarilyn/clickhouse-driver,0.821,0.413
dateutil/dateutil,KoffeinFlummi/Chronyk,0.331,0.187
coala/coala,zachwill/moment,0.853,0.921
Cornices/cornice,klen/mixer,0.915,0.881
python-trio/trio,Microsoft/PTVS,0.305,0.152
dirn/When.py,sdispater/pendulum,0.061,0.113
sirfz/tesserocr,sirfz/tesserocr,0.033,0.034
timofurrer/maya,timofurrer/maya,0.034,0.052
maciejkula/spotlight,benfred/implicit,0.099,0.058
cloudnativelabs/kube-shell,aws/aws-cli,0.136,0.067
myusuf3/delorean,timofurrer/maya,0.513,0.069
omab/python-social-auth,idan/oauthlib,0.164,0.099
glamp/bashplotlib,glamp/bashplotlib,0.218,0.245
pallets/markupsafe,MagicStack/uvloop,0.58,0.439
pallets/werkzeug,pallets/werkzeug,0.028,0.032
msiemens/tinydb,msiemens/tinydb,0.076,0.055
falconry/falcon,tiangolo/fastapi,0.166,0.344
joke2k/faker,binux/pyspider,0.269,0.418
wemake-services/wemake-python-styleguide,lepture/authlib,0.881,0.939
django-crispy-forms/django-crispy-forms,django/django,0.74,0.878
mahmoud/boltons,daviddrysdale/python-phonenumbers,0.459,0.096
joestump/python-oauth2,idan/oauthlib,0.204,0.081
mailgun/flanker,mailgun/flanker,0.041,0.208
PyMySQL/mysqlclient-python,paramiko/paramiko,0.115,0.308
martinblech/xmltodict,mozilla/bleach,0.044,0.05
tiangolo/fastapi,falconry/falcon,0.05,0.044
benedekrozemberczki/karateclub,libvips/pyvips,0.426,0.375
jab/bidict,gunnery/gunnery,0.955,0.268
fogleman/Quads,martinrusev/imbox,0.163,0.163
keunwoochoi/kapre,sergree/matchering,0.236,0.177
napalm-automation/napalm,napalm-automation/napalm,0.843,0.541
django-crispy-forms/django-crispy-forms,sympy/sympy,0.863,0.267
spotify/annoy,jfkirk/tensorrec,0.113,0.48
emirozer/fake2db,ellisonleao/pyshorteners,0.088,0.564
pallets/werkzeug,inducer/pudb,0.239,0.282
bokeh/bokeh,gak/pycallgraph,0.075,0.168
ionelmc/python-hunter,google/pyringe,0.236,0.167
uber/pyflame,uber/pyflame,0.052,0.064
mitsuhiko/pluginbase,SavinaRoja/PyUserInput,0.863,0.394
python-openxml/python-docx,jaraco/path.py,0.248,0.186
r0x0r/pywebview,r0x0r/pywebview,0.091,0.19
Yelp/mrjob,altair-viz/altair,0.178,0.448
coleifer/micawber,codelucas/newspaper,0.063,0.165
peterbrittain/asciimatics,jaraco/path.py,0.059,0.336
pymc-devs/pymc3,evonove/django-oauth-toolkit,0.799,0.829
kornia/kornia,kornia/kornia,0.575,0.703
bpython/bpython,khamidou/lptrace,0.717,0.34
Delgan/loguru,pyinvoke/invoke,0.718,0.466
aaugustin/websockets,aaugustin/websockets,0.227,0.426
asweigart/pyautogui,kiwicom/schemathesis,0.087,0.197
facebookresearch/pytext,pypa/virtualenv,0.981,0.794
kornia/kornia,mingrammer/diagrams,0.826,0.667
glamp/bashplotlib,willmcgugan/rich,0.788,0.56
spotify/dh-virtualenv,coleifer/micawber,0.801,0.61
BVLC/caffe,keras-team/keras,0.041,0.139
jschneier/django-storages,jschneier/django-storages,0.052,0.212
bokeh/bokeh,KoffeinFlummi/Chronyk,0.219,0.502
MechanicalSoup/MechanicalSoup,lorien/grab,0.413,0.519
gorakhargosh/watchdog,mikeorr/Unipath,0.131,0.113
burnash/gspread,ryanmcgrath/twython,0.227,0.08
dmlc/mxnet,PyMySQL/PyMySQL,0.854,0.155
jek/blinker,jek/blinker,0.518,0.148
unoconv/unoconv,ZoomerAnalytics/xlwings,0.033,0.113
jeffknupp/sandman2,django-guardian/django-guardian,0.073,0.19
mindsdb/mindsdb,dmlc/xgboost,0.22,0.439
lericson/pylibmc,un33k/python-slugify,0.49,0.626
scanny/python-pptx,ZoomerAnalytics/xlwings,0.461,0.325
ansible/ansible,stephenmcd/mezzanine,0.912,0.593
Supervisor/supervisor,dyve/django-bootstrap3,0.088,0.646
jab/bidict,mining/mining,0.407,0.462
google/yapf,google/yapf,0.413,0.384
Theano/Theano,python-excel/xlrd,0.618,0.463
keunwoochoi/kapre,selwin/python-user-agents,0.093,0.36
facebookresearch/pytext,msiemens/tinydb,0.501,0.335
elapouya/python-docx-template,python-openxml/python-docx,0.109,0.331
altair-viz/altair,beetbox/audioread,0.113,0.485
codelucas/newspaper,Alir3z4/html2text,0.366,0.126
omab/python-social-auth,esnme/ultrajson,0.516,0.16
peterbrittain/asciimatics,tqdm/tqdm,0.068,0.826
binux/pyspider,Alir3z4/html2text,0.143,0.83
pallets/itsdangerous,shazow/urllib3,0.308,0.27
jeffknupp/sandman2,jeffknupp/sandman2,0.197,0.176
sloria/doitlive,nvbn/thefuck,0.08,0.069
chardet/chardet,chardet/chardet,0.054,0.061
NicolasHug/Surprise,spotify/annoy,0.162,0.081
nvbn/thefuck,pyinvoke/invoke,0.238,0.063
metawilm/cl-python,Maratyszcza/PeachPy,0.635,0.257
knipknap/SpiffWorkflow,NicolasHug/Surprise,0.636,0.093
statsmodels/statsmodels,psf/requests,0.197,0.561
dylanaraps/pywal,shinux/PyTime,0.179,0.432
crossbario/autobahn-python,tartiflette/tartiflette-aiohttp,0.041,0.38
dask/dask,ray-project/ray,0.127,0.222
gotcha/ipdb,antocuni/pdb,0.083,0.206
keunwoochoi/kapre,jiaaro/pydub,0.063,0.085
pykong/copier,nvbn/thefuck,0.157,0.154
pyfilesystem/pyfilesystem2,mikeorr/Unipath,0.101,0.129
mongodb/motor,idan/oauthlib,0.081,0.278
gak/pycallgraph,scottrogowski/code2flow,0.106,0.16
dbcli/litecli,google/google-api-python-client,0.04,0.228
tqdm/tqdm,ahupp/python-magic,0.365,0.268
pyglet/pyglet,nucleic/enaml,0.162,0.069
RaylockLLC/DearPyGui,chriskiehl/Gooey,0.162,0.097
python-pillow/Pillow,python-pillow/Pillow,0.073,0.049
Delgan/loguru,inducer/pudb,0.316,0.199
nficano/python-lambda,tomerfiliba/rpyc,0.438,0.255
indico/indico,rochacbruno/quokka,0.118,0.171
dateutil/dateutil,lemire/simdjson,0.406,0.369
encode/orm,sirfz/tesserocr,0.562,0.314
SciTools/cartopy,getnikola/nikola,0.139,0.298
libvips/pyvips,WhyNotHugo/python-barcode,0.421,0.36
myusuf3/delorean,patx/pickledb,0.446,0.38
geopy/geopy,s3tools/s3cmd,0.547,0.404
benhamner/Metrics,tqdm/tqdm,0.781,0.793
klen/pylama,knipknap/SpiffWorkflow,0.617,0.754
django/channels,gotcha/ipdb,0.519,0.837
mitsuhiko/pluginbase,cdgriffith/Box,0.473,0.829
sdispater/poetry,jazzband/pip-tools,0.1,0.136
vandersonmota/model_mommy,alecthomas/voluptuous,0.23,0.161
wtforms/wtforms,django-crispy-forms/django-crispy-forms,0.108,0.071
BVLC/caffe,SerpentAI/SerpentAI,0.217,0.081
keon/algorithms,TheAlgorithms/Python,0.082,0.159
r0x0r/pywebview,RaylockLLC/DearPyGui,0.097,0.108
fabtools/fabtools,JaidedAI/EasyOCR,0.368,0.682
sirfz/tesserocr,ageitgey/face_recognition,0.491,0.629
jiaaro/pydub,jiaaro/pydub,0.023,0.077
shinux/PyTime,dateutil/dateutil,0.054,0.096
alecthomas/voluptuous,mindflayer/python-mocket,0.053,0.279
dabeaz/ply,selwin/python-user-agents,0.128,0.219
mindflayer/python-mocket,gabrielfalcao/HTTPretty,0.138,0.116
FactoryBoy/factory_boy,BVLC/caffe,0.51,0.133
benfred/implicit,ibayer/fastFM,0.034,0.181
nficano/python-lambda,nucleic/enaml,0.077,0.203
mitsuhiko/unp,mitsuhiko/unp,0.181,0.058
lincolnloop/python-qrcode,hhatto/nude.py,0.13,0.075
ionelmc/python-hunter,pallets/itsdangerous,0.698,0.754
ansible/ansible,pycco-docs/pycco,0.729,0.68
Suor/django-cacheops,Suor/django-cacheops,0.166,0.327
getpelican/pelican,dahlia/awesome-sqlalchemy,0.192,0.174
