repo1,repo2,topics1,topics2,model,strategy,repo_sim
pytoolz/toolz,przemyslawjanpietrzak/pyMonet,[],"['functional-programming', 'monads', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.4140015244483948
selwin/python-user-agents,Suor/funcy,"['browser-detection', 'python', 'user-agent-detection']","['functional-programming', 'python', 'utilities']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.39238619804382324
django-compressor/django-compressor,billpmurphy/hask,[],[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.38198044896125793
SmileyChris/django-countries,przemyslawjanpietrzak/pyMonet,"['country-codes', 'django', 'python']","['functional-programming', 'monads', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.3547321856021881
selwin/python-user-agents,pytoolz/toolz,"['browser-detection', 'python', 'user-agent-detection']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.32292965054512024
SmileyChris/django-countries,django-compressor/django-compressor,"['country-codes', 'django', 'python']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.2541695237159729
SmileyChris/django-countries,billpmurphy/hask,"['country-codes', 'django', 'python']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.20378556847572327
lepture/authlib,SmileyChris/django-countries,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['country-codes', 'django', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.13547536730766296
SmileyChris/django-countries,Suor/funcy,"['country-codes', 'django', 'python']","['functional-programming', 'python', 'utilities']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.09658972918987274
SmileyChris/django-countries,pytoolz/toolz,"['country-codes', 'django', 'python']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.0715993121266365
evonove/django-oauth-toolkit,SmileyChris/django-countries,"['django', 'oauth2', 'python']","['country-codes', 'django', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.07136218994855881
lepture/authlib,selwin/python-user-agents,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['browser-detection', 'python', 'user-agent-detection']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.06671454012393951
idan/oauthlib,SmileyChris/django-countries,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']","['country-codes', 'django', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.055576518177986145
evonove/django-oauth-toolkit,selwin/python-user-agents,"['django', 'oauth2', 'python']","['browser-detection', 'python', 'user-agent-detection']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.044966839253902435
lepture/authlib,przemyslawjanpietrzak/pyMonet,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['functional-programming', 'monads', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.03881548345088959
evonove/django-oauth-toolkit,django-compressor/django-compressor,"['django', 'oauth2', 'python']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.03208576887845993
idan/oauthlib,selwin/python-user-agents,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']","['browser-detection', 'python', 'user-agent-detection']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.03201346471905708
evonove/django-oauth-toolkit,przemyslawjanpietrzak/pyMonet,"['django', 'oauth2', 'python']","['functional-programming', 'monads', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.030764449387788773
lepture/authlib,django-compressor/django-compressor,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.029655154794454575
idan/oauthlib,przemyslawjanpietrzak/pyMonet,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']","['functional-programming', 'monads', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.024578817188739777
idan/oauthlib,django-compressor/django-compressor,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.023158397525548935
lepture/authlib,billpmurphy/hask,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.016913646832108498
lepture/authlib,pytoolz/toolz,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.015062347054481506
lepture/authlib,Suor/funcy,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['functional-programming', 'python', 'utilities']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.014995338395237923
evonove/django-oauth-toolkit,pytoolz/toolz,"['django', 'oauth2', 'python']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.014986542984843254
evonove/django-oauth-toolkit,Suor/funcy,"['django', 'oauth2', 'python']","['functional-programming', 'python', 'utilities']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.013694162480533123
evonove/django-oauth-toolkit,billpmurphy/hask,"['django', 'oauth2', 'python']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.013169141486287117
idan/oauthlib,pytoolz/toolz,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.011543955653905869
idan/oauthlib,Suor/funcy,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']","['functional-programming', 'python', 'utilities']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.01061929576098919
idan/oauthlib,billpmurphy/hask,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-24 20-50-00.157130.pt,mean,0.010420703329145908
